monkeyID,animal,chamber,experimentID,powerClusterID,contrast,conPct,inconPct,observedDeltaBias,nCon,nIncon,conCorrect,inconCorrect,conReconstructionErrorPct,inconReconstructionErrorPct,nullDeltaMean,nullDeltaMedian,nullDeltaLower95,nullDeltaUpper95,oneSidedContrastP,nPermutations
M2,Pepper,R,27,2,16,72.7272727272727,77.2727272727273,-4.54545454545456,20,20,15,15,2.27272727272728,-2.27272727272728,0.2,0,-20,30,0.676646706586826,500
M2,Pepper,R,27,2,30,81.8181818181818,90.9090909090909,-9.09090909090909,20,20,16,18,-1.81818181818181,-0.909090909090907,0.62,0,-20,20,0.702594810379242,500
M2,Pepper,R,28,2,0,50,50,0,40,40,20,20,0,0,-0.74,0,-25,20,0.570858283433134,500
M2,Pepper,R,28,2,12,25,40,-15,20,20,5,8,0,0,0.02,-5,-25,35,0.920159680638723,500
M2,Pepper,R,28,2,16,75,50,25,20,20,15,10,0,0,1.04,5,-25,35,0.111776447105788,500
M2,Pepper,R,28,2,22,85,60,25,20,20,17,12,0,0,0.32,5,-25,35,0.0878243512974052,500
M2,Pepper,R,28,2,40,100,85,15,20,20,20,17,0,0,-0.4,-5,-15,15,0.103792415169661,500
M2,Pepper,R,29,2,0,60,45,15,40,40,24,18,0,0,-0.35,0,-25,20,0.139720558882236,500
M2,Pepper,R,29,2,10,65,70,-5,20,20,13,14,0,0,-0.16,5,-25,25,0.750499001996008,500
M2,Pepper,R,29,2,15,80,70,10,20,20,16,14,0,0,-0.74,0,-20,30,0.343313373253493,500
M2,Pepper,R,29,2,22,90,85,5,20,20,18,17,0,0,-0.1,5,-25,15,0.506986027944112,500
M2,Pepper,R,29,2,35,95,85,10,20,20,19,17,0,0,0.24,0,-20,20,0.337325349301397,500
M2,Pepper,R,34,2,0,45,35,10,40,40,18,14,0,0,-0.39,0,-20,20,0.231536926147705,500
M2,Pepper,R,34,2,8,55,50,5,20,20,11,10,0,0,0.52,5,-35,35,0.522954091816367,500
M2,Pepper,R,34,2,14,85,70,15,20,20,17,14,0,0,-0.28,-5,-25,25,0.223552894211577,500
M2,Pepper,R,34,2,20,85,85,0,20,20,17,17,0,0,1.3,0,-20,20,0.682634730538922,500
M2,Pepper,R,34,2,30,100,100,0,20,20,20,20,0,0,0,0,0,0,1,500
M2,Pepper,R,35,2,0,50,50,0,40,40,20,20,0,0,-0.97,0,-25,20,0.56686626746507,500
M2,Pepper,R,35,2,8,50,55,-5,20,20,10,11,0,0,1.06,5,-35,35,0.754491017964072,500
M2,Pepper,R,35,2,14,80,70,10,20,20,16,14,0,0,1.02,0,-20,30,0.401197604790419,500
M2,Pepper,R,35,2,20,85,85,0,20,20,17,17,0,0,-0.34,0,-20,20,0.63872255489022,500
M2,Pepper,R,35,2,30,100,100,0,20,20,20,20,0,0,0,0,0,0,1,500
M2,Pepper,R,38,2,0,60,55,5,40,40,24,22,0,0,-0.82,0,-25,20,0.375249500998004,500
M2,Pepper,R,38,2,8,45,55,-10,20,20,9,11,0,0,-0.42,0,-30,30,0.806387225548902,500
M2,Pepper,R,38,2,14,80,55,25,20,20,16,11,0,0,-0.9,-5,-25,25,0.0878243512974052,500
M2,Pepper,R,38,2,20,90,90,0,20,20,18,18,0,0,-0.48,0,-20,20,0.682634730538922,500
M2,Pepper,R,38,2,30,100,100,0,20,20,20,20,0,0,0,0,0,0,1,500
M2,Pepper,R,40,2,0,45,50,-5,40,40,18,20,0,0,0.55,0,-20,25,0.764471057884232,500
M2,Pepper,R,40,2,8,55,60,-5,20,20,11,12,0,0,-1.02,-5,-35,35,0.720558882235529,500
M2,Pepper,R,40,2,13,75,70,5,20,20,15,14,0,0,1.24,5,-25,25,0.548902195608782,500
M2,Pepper,R,40,2,18,90,90,0,20,20,18,18,0,0,0.46,0,-20,20,0.708582834331337,500
